name,appid,in_steam,type,steam_name,has_dlc,dlc,is_coming_soon,release_date
Jagged Alliance 3,1084160.0,True,game,Jagged Alliance 3,True,[2469350],False,2023-07-14
Urban Trial Freestyle,243450.0,True,game,Urban Trial Freestyle,False,,False,2013-09-18
MechWarrior 5: Mercenaries,784080.0,True,game,MechWarrior 5: Mercenaries,True,"[2489020, 2179800, 1969380, 1456180, 1705820, 1456210]",False,2021-05-26
RESIDENT EVIL 2,920566.0,True,dlc,Resident Evil 2 - Claire Costume: 98',False,,False,2019-02-15
Stellaris: Overlord Expansion Pack - DLC,21037.0,True,,,,,,null
Kingdoms of Amalur: Re-Reckoning - FATE EDITION,1278260.0,True,dlc,Kingdoms of Amalur: Re-Reckoning - Fatesworn,False,,False,2021-12-14
Cities: Skylines - Sunny Breeze Radio - DLC,1531473.0,True,dlc,Cities: Skylines - Sunny Breeze Radio,False,,False,2021-05-21
Squad,393380.0,True,game,Squad,True,"[453400, 2522000, 2584870, 2598380, 2222341, 2222342, 2417351, 2417350, 2222340, 1123920]",False,2020-09-23
SUPERHOT VR,617830.0,True,game,SUPERHOT VR,False,,False,2017-05-25
METAL GEAR SOLID V: The Definitive Experience,132479.0,True,,,,,,null
The Dark Pictures Anthology: Season One,27477.0,True,,,,,,null
The Dark Pictures Anthology: House of Ashes,1281590.0,True,game,The Dark Pictures Anthology: House of Ashes,False,,False,2021-10-21
Bus Driver Simulator - European Minibus - DLC,2192770.0,True,game,Taddle Quest,False,,True,2024-01-23
Florence,1102130.0,True,game,Florence,True,[1206330],False,2020-02-13
If Found...,1041920.0,True,game,If Found...,True,[1299770],False,2020-05-19
Pathfinder: Wrath of the Righteous - Season Pass 2 - DLC,2145870.0,True,dlc,Pathfinder: Wrath of the Righteous – Season Pass 2,False,,False,2022-10-25
I Am Future: Cozy Apocalypse Survival,1658040.0,True,game,I Am Future: Cozy Apocalypse Survival,True,"[2487020, 2532810]",False,2023-08-08
Nova Drift,858210.0,True,game,Nova Drift,True,[1156340],False,2019-03-27
Remember Me,291030.0,True,game,Always Remember Me,True,[294340],False,2014-04-18
The Life and Suffering of Sir Brante,1272160.0,True,game,The Life and Suffering of Sir Brante,True,[1566770],False,2021-03-04
Deadly 30,264730.0,True,game,Deadly 30,False,,False,2014-01-08
Sable,757310.0,True,game,Sable,False,,False,2021-09-23
Dead Cells: The Queen and the Sea - DLC,1580050.0,True,dlc,Dead Cells: The Queen and the Sea,False,,False,2022-01-06
Titan Quest: Ragnarok - DLC,741350.0,True,dlc,Titan Quest: Ragnarök,False,,False,2017-11-17
ONE PIECE: PIRATE WARRIORS 4 - Deluxe Edition,1205240.0,True,game,Tentacle Girl,True,[1205290],False,2020-02-14
Stellaris: Toxoids Species Pack - DLC,2115770.0,True,dlc,Stellaris: Toxoids Species Pack,False,,False,2022-09-20
The King's Bird,812550.0,True,game,The King's Bird,True,[929160],False,2018-08-23
Hearts of Iron IV: Battle for the Bosporus - DLC,1348660.0,True,dlc,Expansion - Hearts of Iron IV: Battle for the Bosporus,False,,False,2020-10-15
Mad Max,234140.0,True,game,Mad Max,False,,False,2015-10-01
Little Nightmares,424840.0,True,game,Little Nightmares,True,"[640920, 584095, 584096, 584097, 584090, 584091, 584092, 584094, 601710]",False,2017-04-27
Wartales,1527950.0,True,game,Wartales,True,[2692400],False,2023-04-12
Hearts of Iron IV: La Resistance - DLC,1158100.0,True,dlc,Expansion - Hearts of Iron IV: La Résistance,False,,False,2020-02-25
The Wild Eight,526160.0,True,game,The Wild Eight,True,"[590360, 590361]",False,2019-10-03
THE SIMS 4: ISLAND LIVING - DLC,1236720.0,True,game,Spirit Island,True,"[1516480, 2419040, 1409120, 1480780]",False,2020-07-29
Timberman,398710.0,True,game,Timberman,False,,False,2015-09-18
Beholder 3,1570070.0,True,game,Beholder 3,False,,False,2022-03-03
Horizon Zero Dawn™ Complete Edition,2649240.0,True,dlc,FINAL FANTASY XIV: Dawntrail,False,,True,null
RoboCop: Rogue City - Alex Murphy Edition - ПРЕДЗАКАЗ,2436841.0,True,dlc,RoboCop: Rogue City - Alex Murphy Pack,False,,False,2023-11-02
Tails Noir,865610.0,True,game,Tails Noir,True,"[1630090, 1649990]",False,2021-06-08
Tails Noir,865610.0,True,game,Tails Noir,True,"[1630090, 1649990]",False,2021-06-08
Cities: Skylines - Financial Districts - DLC,2148901.0,True,dlc,Cities: Skylines - Financial Districts,False,,False,2022-12-13
Stellaris - Galaxy Edition,616191.0,True,dlc,Stellaris: Galaxy Edition Upgrade Pack,False,,False,2017-04-03
Gothic III,39500.0,True,game,Gothic® 3,False,,False,2009-12-02
Townscaper,1291340.0,True,game,Townscaper,False,,False,2021-08-26
Witch It,559650.0,True,game,Witch It,False,,False,2020-10-22
