name,appid,in_steam,type,steam_name,has_dlc,dlc,is_coming_soon,release_date
The Coma 2: Vicious Sisters DELUXE EDITION,15986.0,True,,,,,,null
Turnip Boy Commits Tax Evasion,1205450.0,True,game,Turnip Boy Commits Tax Evasion,False,,False,2021-04-22
Metro Simulator - 'Oka' Liveries Pack - DLC,315660.0,True,game,Trainz: A New Era,True,"[322140, 322141, 335610, 335611, 380740, 404210, 404211, 404212, 404213, 404214, 404215, 404216, 404217, 404218, 404219, 404220, 404980, 404981, 404982, 430180, 430181, 430220, 438390, 439330, 443300, 447480, 453200, 454800, 457610, 460070, 462140, 486100, 487540, 500540, 511650, 512810, 512850, 512870, 520780, 534850, 535540, 535580, 535600, 536580, 536730, 537080, 537940, 599400, 599540, 610910, 610970, 612200, 613430, 632630, 633280, 643420, 643460, 662860, 662861, 662862, 662863, 662864, 662865, 662866, 706450, 715080, 766440, 766441, 766442, 766443, 766444, 766445, 766446, 766447, 766448, 766449, 766470, 766471, 766472, 766520, 766521, 767230, 768050, 802100, 811710, 818980, 818981, 818982, 844690, 865070, 866990, 1042540, 1093990, 1094210, 1094490, 1094550, 1202500]",False,2015-05-14
Labyrinth City: Pierre the Maze Detective,1421790.0,True,game,Labyrinth City: Pierre the Maze Detective,False,,False,2021-06-22
POSTAL Redux,401680.0,True,game,POSTAL Redux,True,[513800],False,2016-05-20
Strategy & Tactics: Wargame Collection,338130.0,True,game,Strategy & Tactics: Wargame Collection,True,"[536740, 536741]",False,2016-04-22
Colored Effects,1892570.0,True,game,Colored Effects,False,,False,2023-06-22
Hue,383270.0,True,game,Hue,True,[517450],False,2016-08-30
Brothers in Arms: Road to hill 30,1227700.0,True,dlc,Arma 3 Creator DLC: S.O.G. Prairie Fire,False,,False,2021-05-06
WRC 10 FIA World Rally Championship - Deluxe Edition,21763.0,True,,,,,,null
Castlevania: Lords of Shadow – Ultimate Edition,234080.0,True,game,Castlevania: Lords of Shadow – Ultimate Edition,False,,False,2013-08-27
Psychonauts,3838.0,True,music,Psychonauts Original Soundtrack,False,,False,2012-05-24
NARUTO TO BORUTO: SHINOBI STRIKER - Deluxe Edition,1205240.0,True,game,Tentacle Girl,True,[1205290],False,2020-02-14
Project Highrise: Brilliant Berlin - DLC,842020.0,True,dlc,Project Highrise: Brilliant Berlin,False,,False,2018-07-19
Bomber Crew,537800.0,True,game,Bomber Crew,True,"[754680, 756070, 728930, 756071, 756080]",False,2017-10-19
DESOLATE,671510.0,True,game,DESOLATE,True,[805060],False,2019-01-17
Bang-On Balls: Chronicles,1227650.0,True,game,Bang-On Balls: Chronicles,True,"[2624930, 2624940]",False,2023-10-05
SteamWorld Heist,322190.0,True,game,SteamWorld Heist,True,"[464840, 530660, 530661, 490320]",False,2016-06-07
Pathfinder: Wrath of the Righteous - Inevitable Excess - DLC,1889980.0,True,dlc,Pathfinder: Wrath of the Righteous - Inevitable Excess,False,,False,2022-03-03
Prison Architect: Second Chances - DLC,1601350.0,True,dlc,Prison Architect - Second Chances,False,,False,2021-06-16
Mortal Kombat 1,1431780.0,True,game,The Black Heart,True,[1786650],False,2021-10-21
Code Vein: Deluxe Edition,34077.0,True,,,,,,null
Sinless,340320.0,True,game,Sinless + OST,False,,False,2015-12-16
ONE PIECE World Seeker,755500.0,True,game,ONE PIECE World Seeker,True,"[1024920, 861110, 861100, 861090, 1024910, 1024915]",False,2019-03-14
Stellaris: Galaxy Edition Upgrade Pack - DLC,616191.0,True,dlc,Stellaris: Galaxy Edition Upgrade Pack,False,,False,2017-04-03
Indiana Jones and the Emperor's Tomb,499460.0,True,game,Tomato Jones,False,,False,2016-07-11
Re:Turn – One Way Trip,1195360.0,True,game,Re:Turn - One Way Trip,True,[1444790],False,2020-10-14
Absolute Tactics: Daughters of Mercy,1636660.0,True,game,Absolute Tactics: Daughters of Mercy,True,"[2139360, 2148580]",False,2022-09-15
Citizen Sleeper,1578650.0,True,game,Citizen Sleeper,True,"[1958410, 1958420]",False,2022-05-05
Blackguards,249650.0,True,game,Blackguards,True,"[281770, 477000]",False,2014-01-22
Silver,606680.0,True,game,Silver,False,,False,2017-06-02
Autonauts vs Piratebots,1907720.0,True,game,Autonauts vs Piratebots,False,,False,2022-07-28
Dragon Star Varnir,1062040.0,True,game,Dragon Star Varnir,True,"[1064190, 1064191, 1064210, 1064211, 1064212, 1064213, 1064214, 1064215, 1064216, 1064217, 1064218, 1064219, 1114040]",False,2019-10-08
The Wanderer: Frankenstein's Creature,966670.0,True,game,The Wanderer: Frankenstein’s Creature,False,,False,2019-10-30
Orcs Must Die! - Lost Adventures - DLC,102623.0,True,dlc,Orcs Must Die! - Lost Adventures,False,,False,2011-11-08
Pumpkin Jack,1186640.0,True,game,Pumpkin Jack,True,[1436670],False,2020-10-23
Surviving Mars,464920.0,True,game,Surviving Mars,True,"[1816780, 1658001, 1658000, 1498760, 1657990, 1497160, 952890, 1042360, 801670, 952892, 952891, 801710, 801690, 801650]",False,2018-03-15
Tales of Arise: Deluxe Edition,15892.0,True,,,,,,null
Train Valley 2,602320.0,True,game,Train Valley 2,True,"[2440700, 2330180, 2098231, 2098232, 2098230, 1874870, 1154780, 1056730]",False,2019-04-15
The Guild 3,311260.0,True,game,The Guild 3,True,[2022710],False,2022-06-14
SUPERHOT,322500.0,True,game,SUPERHOT,False,,False,2016-02-25
TEKKEN 7 - Definitive Edition,40970.0,True,game,Stronghold Crusader HD,False,,False,2013-10-21
Pizza Possum,1951230.0,True,game,Pizza Possum,False,,False,2023-09-28
LEGO® Star Wars™: The Skywalker Saga - Deluxe Edition,1205240.0,True,game,Tentacle Girl,True,[1205290],False,2020-02-14
Train Valley 2: Workshop Gems – Ruby - DLC,2098230.0,True,dlc,Train Valley 2: Workshop Gems - Ruby,False,,False,2022-09-29
Sigma Theory: Global Cold War,716640.0,True,game,Sigma Theory: Global Cold War,True,"[966710, 1243710, 1313010]",False,2019-11-21
Europa Universalis IV: Domination - DLC,2223660.0,True,dlc,Europa Universalis IV: Domination,False,,False,2023-04-18
For The King: Lost Civilization Adventure Pack - DLC,1433560.0,True,dlc,For The King: Lost Civilization Adventure Pack,False,,False,2021-02-10
Men of War: Assault Squad 2 - Deluxe Edition,271850.0,True,dlc,Men of War: Assault Squad 2 - Deluxe Edition upgrade,False,,False,2014-05-16
Подписка Xbox LIVE GOLD на 12 месяцев,,False,,,,,,null
Expeditions: Rome,987840.0,True,game,Expeditions: Rome,True,"[1805540, 1805541]",False,2022-01-20
Giana Sisters: Twisted Bundle,31710.0,True,demo,Iron Grip Warlord Demo,False,,False,2010-05-06
Giana Sisters: Twisted Bundle,31710.0,True,demo,Iron Grip Warlord Demo,False,,False,2010-05-06
Cities: Skylines - Content Creator Pack: Mid-Century Modern - DLC,1992290.0,True,dlc,Cities: Skylines - Content Creator Pack: Mid-Century Modern,False,,False,2022-09-14
G-Force,1094410.0,True,game,B.U.G. Force,False,,False,2022-02-05
Bad North: Jotunn Edition,688420.0,True,game,Bad North: Jotunn Edition,True,[970060],False,2018-11-16
Hollow 2,1055240.0,True,game,Hollow 2,False,,False,2022-07-08
Resident Evil: Revelations 2 - Deluxe Edition,1205240.0,True,game,Tentacle Girl,True,[1205290],False,2020-02-14
ONE PIECE World Seeker: Deluxe Edition,571720.0,True,game,One Piece: Unlimited World Red - Deluxe Edition,False,,False,2017-08-25
The Great Perhaps,1016930.0,True,game,The Great Perhaps,False,,False,2019-08-14
Alba: A Wildlife Adventure,1337010.0,True,game,Alba: A Wildlife Adventure,False,,False,2020-12-11
Pathfinder: Wrath of the Righteous - Through the Ashes - DLC,1889981.0,True,dlc,Pathfinder: Wrath of the Righteous - Through the Ashes,False,,False,2022-04-21
Tropico 6,492720.0,True,game,Tropico 6,True,"[2594010, 2186250, 1631380, 1449310, 1282350, 1259750, 1100250, 881960, 1224940]",False,2019-03-29
JoJo's Bizarre Adventure: All-Star Battle R - Digital Deluxe Edition,1205240.0,True,game,Tentacle Girl,True,[1205290],False,2020-02-14
NARUTO: Ultimate Ninja STORM,495140.0,True,game,NARUTO: Ultimate Ninja STORM,False,,False,2017-08-25
Wanderlust: Travel Stories,1051410.0,True,game,Wanderlust: Travel Stories,True,[1224190],False,2019-09-26
The Uncertain: Light at the end,925570.0,True,game,The Uncertain: Light At The End,False,,False,2020-10-08
Move or Die,323850.0,True,game,Move or Die,False,,False,2016-01-21
Resident Evil 4,2109315.0,True,dlc,Resident Evil 4 - The Mercenaries,False,,False,2023-04-06
The Bookwalker: Thief of Tales,1432100.0,True,game,The Bookwalker: Thief of Tales,True,"[2485390, 2485400]",False,2023-06-22
Vampire: The Masquerade - Shadows of New York,1279630.0,True,game,Vampire: The Masquerade - Shadows of New York,True,"[1405990, 1406010]",False,2020-09-10
Chicken Shoot,259340.0,True,game,Chicken Shoot Gold,False,,False,2003-11-01
Prison Architect: Undead - DLC,2154010.0,True,dlc,Prison Architect - Undead,False,,False,2022-10-11
Californium,402060.0,True,game,Californium,False,,False,2016-02-17
DJMAX RESPECT V,960170.0,True,game,DJMAX RESPECT V,True,"[1080550, 1214810, 1238760, 1238761, 1238762, 1271670, 1271671, 1271680, 1281330, 1300210, 1300211, 1315140, 1315150, 1316550, 1356220, 1356221, 1356222, 1386610, 1386611, 1386612, 1386613, 1386614, 1386615, 1386616, 1472190, 1472191, 1472192, 1568680, 1568690, 1664550, 1782170, 1843010, 1843020, 1958170, 1958171, 1958172, 2086480, 2125650, 2164530, 2164540]",False,2020-03-11
Scarlet Nexus,775500.0,True,game,SCARLET NEXUS,True,"[1790540, 1767240, 1590563, 1590566, 1590567, 1590565, 1590561]",False,2021-06-24
DCL - The Game,964570.0,True,game,DCL - The Game,False,,False,2020-02-18
Hearts of Iron III,25890.0,True,game,Hearts of Iron III,True,"[214991, 214990, 214988, 214987, 214986, 214980, 25960, 25898, 25896, 25897, 25899, 25892, 25962, 42904, 214981, 42902, 42903, 42905]",False,2009-08-07
Omerta - City of Gangsters - Gold Edition,41008.0,True,,,,,,null
The Walking Dead: Season One,261030.0,True,game,The Walking Dead: Season Two,False,,False,2013-12-17
Chronos: Before the Ashes,967390.0,True,game,Chronos: Before the Ashes,True,[1282870],False,2020-12-01
Apex Legends: 2150 Coins,1172470.0,True,game,Apex Legends™,False,,False,2020-11-04
"Warhammer 40,000: Battlesector - Necrons - DLC",1793051.0,True,dlc,"Warhammer 40,000: Battlesector - Necrons",False,,False,2022-04-21
THE LAST BLADE 2,702110.0,True,game,THE LAST BLADE 2,False,,False,2017-11-17
The Dark Eye Demonicon,243200.0,True,game,The Dark Eye: Memoria,True,[558210],False,2013-08-29
Train Valley 2 - Passenger Flow - DLC,1154780.0,True,dlc,Train Valley 2 - Passenger Flow,False,,False,2019-10-03
Resident Evil: Revelations,222480.0,True,,,,,,null
Panzer Corps 2,1072040.0,True,game,Panzer Corps 2,True,"[2393021, 2393020, 2130950, 1938820, 1652450, 1526010, 1438150, 1351260, 1351261, 1233360]",False,2020-03-19
Fill Up!,405050.0,True,game,Fill Up!,False,,False,2016-02-17
Hearts of Iron IV: Man the Guns - DLC,815460.0,True,dlc,Expansion - Hearts of Iron IV: Man the Guns,False,,False,2019-02-28
Paw Paw Paw,1037910.0,True,game,Paw Paw Paw,False,,False,2020-11-13
Rain World: Downpour - DLC,1933390.0,True,dlc,Rain World: Downpour,False,,False,2023-01-19
My Summer Adventure: Memories of Another Life,1546060.0,True,game,My Summer Adventure: Memories of Another Life,False,,False,2023-05-30
Train Sim World® 2,1282590.0,True,game,Train Sim World® 2,True,"[1304445, 1304412, 1304414, 1490110, 1304449, 1418848, 1304416, 1418840, 1490115, 1490117, 1490116, 1418849, 1304410, 1304415, 1304444, 1304468, 1304447, 1490112, 1490111, 1418842, 1664950, 1304469, 1664953, 1304461, 1304460, 1418843, 1664930, 1664952, 1664958, 1490119, 1664955, 1664957, 1664956, 1418846, 1418844, 1664951, 1418847, 1490113, 1418845, 1664931, 1304463, 1304419, 1304441, 1304467, 1418841, 1304464, 1304413, 1304442, 1304411, 1304417, 1304448, 1304446, 1304440, 1304462, 1304418]",False,2020-08-20
Haven,983970.0,True,game,Haven,True,"[1468310, 1294690]",False,2020-12-03
Iron Harvest Deluxe,1205240.0,True,game,Tentacle Girl,True,[1205290],False,2020-02-14
Darksburg,939100.0,True,game,Darksburg,False,,False,2020-09-23
One Piece: Pirate Warriors 3 - Gold Edition,70503.0,True,,,,,,null
Model Builder,1164250.0,True,game,Model Builder,True,"[2644980, 2098110, 1938590, 1970360, 2021030, 2055330, 2138320, 2324250]",False,2022-02-08
Space Engineers,244850.0,True,game,Space Engineers,True,"[573160, 1049790, 1084680, 1135960, 1167910, 1241550, 1307680, 1374610, 1475830, 1676100, 1783760, 1958640, 2504720, 2569770]",False,2019-02-28
Hard Truck Apocalypse: Rise Of Clans,286810.0,True,game,Hard Truck Apocalypse: Rise Of Clans / Ex Machina: Meridian 113,False,,False,2014-03-14
The Uncertain: Last Quiet Day,406970.0,True,game,The Uncertain: Last Quiet Day,True,[564030],False,2016-09-22
Guilty Gear -Strive- Season Pass 2 - DLC,1652890.0,True,dlc,Guilty Gear -Strive- Season Pass 2,False,,False,2022-08-08
NAIRI: Tower of Shirin,802450.0,True,game,NAIRI: Tower of Shirin,True,"[991010, 991011]",False,2018-11-29
Apex Legends: 11500 Coins,1172470.0,True,game,Apex Legends™,False,,False,2020-11-04
UNDER NIGHT IN-BIRTH Exe:Late[cl-r],801630.0,True,game,UNDER NIGHT IN-BIRTH Exe:Late[cl-r],True,"[1216950, 1216951, 1216952, 1216953, 1216954, 1216955, 1216956, 913930, 905681, 905682, 905683, 905684, 905685, 905686, 905687, 905688, 905689, 905700, 905701, 905702, 905703, 905704, 905705, 905706, 905707, 905708]",False,2018-08-20
Star Wars: Battlefront II,31648.0,True,,,,,,null
Resident Evil Village - Winters’ Expansion - DLC,2062120.0,True,demo,Resident Evil Village Gold Edition Gameplay Demo,False,,False,2022-10-20
Alone in the Dark (2008),259170.0,True,game,Alone in the Dark (2008),False,,False,2013-10-29
Flower,966330.0,True,game,Flower,False,,False,2019-02-14
Kingdom Come: Deliverance - A Woman's Lot - DLC,1033890.0,True,,,,,,null
Gotham Knights - Deluxe Edition,25014.0,True,,,,,,null
Conan Exiles: The Imperial East Pack - DLC,760730.0,True,dlc,Conan Exiles - The Imperial East Pack,False,,False,2018-06-22
The Guild II,39650.0,True,game,The Guild II,False,,False,2010-06-24
Europa Universalis IV: Third Rome - Immersion Pack - DLC,625050.0,True,dlc,Immersion Pack - Europa Universalis IV: Third Rome,False,,False,2017-06-14
Trapped Dead: Lockdown,305500.0,True,game,Trapped Dead: Lockdown,False,,False,2015-03-20
Orcs Must Die! 3 - Tipping the Scales DLC - DLC,1936590.0,True,dlc,Orcs Must Die! 3 - Tipping the Scales DLC,False,,False,2022-04-07
Desynced,1450900.0,True,game,Desynced: Autonomous Colony Simulator,False,,False,2023-08-15
Panzer Corps 2: Axis Operations – 1939 - DLC,1351260.0,True,dlc,Panzer Corps 2: Axis Operations - 1939,False,,False,2020-08-27
Bang Bang Racing,207020.0,True,game,Bang Bang Racing,False,,False,2012-06-08
Stellaris: Humanoid Species Pack - DLC,756010.0,True,dlc,Stellaris: Humanoids Species Pack,False,,False,2017-12-07
This Is the President,730430.0,True,game,This Is the President,False,,False,2021-12-06
Bus Driver Simulator - Modern City Bus - DLC,427100.0,True,game,Fernbus Simulator,True,"[1847550, 1446990, 1446991, 1140660, 1370010, 1471310, 1140661, 1154770, 1250730, 1140662, 654120, 1121030, 569700, 1026740, 724420, 724440, 1158120, 1121090, 937720, 612261, 686280, 729490, 612260]",False,2016-08-25
TERRACOTTA,748020.0,True,game,TERRACOTTA,True,[2162040],False,2022-11-14
American Fugitive,934780.0,True,game,American Fugitive,False,,False,2019-05-21
Assassin's Creed: Brotherhood - Deluxe Edition,1205240.0,True,game,Tentacle Girl,True,[1205290],False,2020-02-14
SpellForce 3: Fallen God,1154040.0,True,game,SpellForce 3: Fallen God,True,"[1415390, 1453890]",False,2020-11-03
MegaTagmension Blanc + Neptune VS Zombies,496810.0,True,game,MegaTagmension Blanc + Neptune VS Zombies (Neptunia),True,[530580],False,2016-10-03
Prince of Persia: The Two Thrones,1410640.0,True,game,Syberia: The World Before,True,[1724920],False,2022-03-18
Way of the Hunter,1288320.0,True,game,Way of the Hunter,True,"[2012180, 2584760, 2211610, 2054471, 2054470, 2014490]",False,2022-08-16
Shut Eye,533330.0,True,game,Shut Eye,False,,False,2016-09-30
Hearts of Iron IV: Allied Speeches Pack - DLC,1317250.0,True,dlc,Hearts of Iron IV: Allied Speeches Music Pack,False,,False,2020-06-04
Deadfall Adventures - Deluxe Edition,2378500.0,True,dlc,Baldur's Gate 3 - Digital Deluxe Edition DLC,False,,False,2023-08-03
The Red Lantern,1053710.0,True,game,The Red Lantern,False,,False,2021-12-08
Chicken Shoot - Gold Edition,259340.0,True,game,Chicken Shoot Gold,False,,False,2003-11-01
Battlestar Galactica Deadlock: Ghost Fleet Offensive - DLC,1143820.0,True,dlc,Battlestar Galactica Deadlock: Ghost Fleet Offensive,False,,False,2020-02-25
Spirit of the Island,1592110.0,True,game,Spirit of the Island,True,"[2507940, 2419840]",False,2022-08-17
"Warhammer 40,000: Mechanicus Omnissiah Edition",916250.0,True,dlc,"Warhammer 40,000: Mechanicus - Upgrade to Omnissiah Edition",False,,False,2018-11-15
Storm,231020.0,True,game,Storm,False,,False,2013-06-27
Melvor Idle: Throne of the Herald - DLC,2055140.0,True,dlc,Melvor Idle: Throne of the Herald,False,,False,2022-10-20
Infliction,692100.0,True,game,Infliction,False,,False,2018-10-17
The Dark Pictures Anthology - Man of Medan,939850.0,True,game,The Dark Pictures Anthology: Man of Medan,False,,False,2019-08-29
Prison Architect - Going Green - DLC,1493470.0,True,dlc,Prison Architect - Going Green,False,,False,2021-01-28
Anvil Saga,1587540.0,True,game,Anvil Saga,True,[2646780],False,2023-11-16
MORTAL KOMBAT XL,2192770.0,True,game,Taddle Quest,False,,True,2024-01-23
Assassin's Creed: Revelations - Gold Edition,1205240.0,True,game,Tentacle Girl,True,[1205290],False,2020-02-14
Cat Quest,593280.0,True,game,Cat Quest,False,,False,2017-08-08
Pressure,929490.0,True,game,RAM Pressure,False,,False,2021-09-15
Safety First!,497700.0,True,game,Safety First!,False,,False,2016-09-08
Golden Light,1245430.0,True,game,Golden Light,True,"[1440100, 1915480]",False,2022-03-11
"Northgard - Lyngbakr, Clan of the Kraken - DLC",1088640.0,True,dlc,"Northgard - Lyngbakr, Clan of the Kraken",False,,False,2019-07-25
Darksiders Blades & Whip Franchise Pack,10464.0,True,,,,,,null
Bus Driver Simulator - Soviet Legend - DLC,2192770.0,True,game,Taddle Quest,False,,True,2024-01-23
Prison Architect - Gangs - DLC,1948120.0,True,dlc,Prison Architect - Gangs,False,,False,2022-06-14
Roboquest,692890.0,True,game,Roboquest,True,[1400490],False,2023-11-07
AEW: Fight Forever,1913210.0,True,game,AEW: Fight Forever,True,"[2436720, 2611450, 2611260, 2611250, 2436721, 2154880, 2252020, 2252040]",False,2023-06-29
One Hand Clapping,893720.0,True,game,One Hand Clapping,False,,False,2021-12-14
Warborn,918950.0,True,game,WARBORN,False,,False,2020-06-12
Fade to Silence,706020.0,True,game,Fade to Silence,False,,False,2019-04-30
Metal Gear Solid V: The Phantom Pain,287700.0,True,game,METAL GEAR SOLID V: THE PHANTOM PAIN,True,"[406540, 406560, 406580, 406590, 406600, 406610, 406620, 436030, 436040, 436050, 437230, 437231, 437233]",False,2015-09-01
World War III: Black Gold,254080.0,True,game,World War III: Black Gold,True,[986300],False,2013-09-27
Mega Man 11,1205240.0,True,game,Tentacle Girl,True,[1205290],False,2020-02-14
Golf Club: Wasteland,1556870.0,True,game,Golf Club Nostalgia,True,"[1946110, 1946111]",False,2021-09-03
Say No! More,1191900.0,True,game,Say No! More,False,,False,2021-04-09
Mortal Kombat 11 - Ultimate Edition,1205240.0,True,game,Tentacle Girl,True,[1205290],False,2020-02-14
Rise of the Tomb Raider: 20 Year Celebration,1205240.0,True,game,Tentacle Girl,True,[1205290],False,2020-02-14
Cities: Skylines - Content Creator Pack: Map Pack 2 - DLC,2148903.0,True,dlc,Cities: Skylines - Content Creator Pack: Map Pack 2,False,,False,2022-12-13
Ultra Street Fighter IV,1361510.0,True,game,Teenage Mutant Ninja Turtles: Shredder's Revenge,True,[2348930],False,2022-06-16
Tropico 6: New Frontiers - DLC,2186250.0,True,dlc,Tropico 6 - New Frontiers,False,,False,2022-12-01
Metro Simulator - 'Russia' Liveries Pack - DLC,315660.0,True,game,Trainz: A New Era,True,"[322140, 322141, 335610, 335611, 380740, 404210, 404211, 404212, 404213, 404214, 404215, 404216, 404217, 404218, 404219, 404220, 404980, 404981, 404982, 430180, 430181, 430220, 438390, 439330, 443300, 447480, 453200, 454800, 457610, 460070, 462140, 486100, 487540, 500540, 511650, 512810, 512850, 512870, 520780, 534850, 535540, 535580, 535600, 536580, 536730, 537080, 537940, 599400, 599540, 610910, 610970, 612200, 613430, 632630, 633280, 643420, 643460, 662860, 662861, 662862, 662863, 662864, 662865, 662866, 706450, 715080, 766440, 766441, 766442, 766443, 766444, 766445, 766446, 766447, 766448, 766449, 766470, 766471, 766472, 766520, 766521, 767230, 768050, 802100, 811710, 818980, 818981, 818982, 844690, 865070, 866990, 1042540, 1093990, 1094210, 1094490, 1094550, 1202500]",False,2015-05-14
Bus Driver Simulator - Russian Soul - DLC,2192770.0,True,game,Taddle Quest,False,,True,2024-01-23
Old World - The Sacred and The Profane - DLC,2261870.0,True,dlc,Old World - The Sacred and The Profane,False,,False,2023-01-16
Knights of Honor,25830.0,True,game,Knights of Honor,False,,False,2009-02-04
Frederic: Evil Strikes Back,301200.0,True,game,Frederic: Evil Strikes Back,False,,False,2014-05-23
Ancient Enemy,993790.0,True,game,Ancient Enemy,False,,False,2020-04-09
Naruto Shippuden Ultimate Ninja STORM 2 HD,543870.0,True,game,NARUTO SHIPPUDEN: Ultimate Ninja STORM 2,False,,False,2017-08-25
Assassin's Creed Odyssey - Deluxe Edition,1205240.0,True,game,Tentacle Girl,True,[1205290],False,2020-02-14
Orcs Must Die! 2,201790.0,True,game,Orcs Must Die! 2,True,"[201802, 201804, 201809, 201805]",False,2012-07-30
RUSH: A Disney • PIXAR Adventure,522220.0,True,game,InMind 2 VR,False,,False,2017-02-17
Startide,598500.0,True,game,Startide,False,,False,2017-09-08
Fahrenheit: Indigo Prophecy Remastered,312840.0,True,game,Fahrenheit: Indigo Prophecy Remastered,False,,False,2015-01-28
Old World - Heroes of the Aegean - DLC,1952840.0,True,dlc,Old World - Heroes of the Aegean,False,,False,2022-05-19
Battle Ram,1262060.0,True,game,Battle Ram,False,,False,2023-01-05
STAY,753230.0,True,game,STAY,True,[852100],False,2018-05-16
Truck Mechanic Simulator,1045290.0,True,dlc,Diesel Brothers: Truck Building Simulator - Cardboard Pickup Mechanic (Papercraft),False,,False,2019-05-10
Desperados: Wanted Dead Or Alive,260730.0,True,game,Desperados: Wanted Dead or Alive,False,,False,2013-11-20
SUPERHOT: MIND CONTROL DELETE,690040.0,True,game,SUPERHOT: MIND CONTROL DELETE,True,[1261380],False,2020-07-16
The Forest Quartet,1620720.0,True,game,The Forest Quartet,True,[2285460],False,2022-12-08
Restless Soul,1748230.0,True,game,RESTLESS SOUL,False,,False,2022-09-01
Titan Quest: Atlantis - DLC,1071200.0,True,dlc,Titan Quest: Atlantis,False,,False,2019-05-09
Hello Neighbor 2,1321680.0,True,game,Hello Neighbor 2,True,"[2215320, 2215321, 2215322]",False,2022-12-06
Beholder - Blissful Sleep - DLC,616950.0,True,dlc,Beholder - Blissful Sleep,False,,False,2017-05-18
ONE PIECE: PIRATE WARRIORS 4,1089090.0,True,game,ONE PIECE: PIRATE WARRIORS 4,True,"[2469230, 2449250, 2449140, 1130840, 1203040, 1203041, 1203042, 1203043, 1203045, 2458610]",False,2020-03-26
Floor is Lava,1812960.0,True,game,Floor is Lava,False,,False,2021-11-29
Black Mirror Rremastered,581300.0,True,game,Black Mirror,True,[755700],False,2017-11-28
Cyberline Racing,514460.0,True,game,Cyberline Racing,False,,False,2017-03-22
Men of War: Red Tide,3130.0,True,game,Men of War: Red Tide,False,,False,2009-11-01
Cities: Skylines - Hotels & Retreats - DLC,2342310.0,True,dlc,Cities: Skylines - Hotels & Retreats,False,,False,2023-05-23
Europa Universalis IV: Cradle of Civilization Expansion - DLC,721340.0,True,dlc,Expansion - Europa Universalis IV: Cradle of Civilization,False,,False,2017-11-16
Quantum Break,2155770.0,True,game,THE MULLER-POWELL PRINCIPLE,False,,False,2023-11-29
Sacred 2 Gold,225640.0,True,game,Sacred 2 Gold,False,,False,2012-12-21
Battlestar Galactica Deadlock: Sin and Sacrifice - DLC,1001150.0,True,dlc,Battlestar Galactica Deadlock: Sin and Sacrifice,False,,False,2019-03-19
BE-A Walker,864160.0,True,game,BE-A Walker,True,[1314440],False,2020-05-07
A Normal Lost Phone,523210.0,True,game,A Normal Lost Phone,True,[580700],False,2017-01-26
Phineas and Ferb: New Inventions,1218220.0,True,game,The Mechanical World of Dr. Gearbox,False,,True,null
Ultra Age,1683100.0,True,game,Ultra Age,True,"[2064450, 2065470]",False,2022-04-27
The Moment of Silence,339840.0,True,game,The Moment of Silence,False,,False,2015-03-27
Scorn - Deluxe Edition (STEAM),2192770.0,True,game,Taddle Quest,False,,True,2024-01-23
Defunct,359350.0,True,game,Defunct,True,[439680],False,2016-01-29
Europa Universalis IV: Common Sense - DLC,338163.0,True,dlc,Expansion - Europa Universalis IV: Common Sense,False,,False,2015-06-09
Monster Hunter Rise: Sunbreak - Deluxe Edition - DLC,2192770.0,True,game,Taddle Quest,False,,True,2024-01-23
Sacred Gold,12320.0,True,game,Sacred Gold,False,,False,2008-07-09
Warpips,1291010.0,True,game,Warpips,True,"[1606930, 1619140]",False,2022-04-21
Knights of Honor II: Sovereign,736820.0,True,game,Knights of Honor II: Sovereign,True,[1279760],False,2022-12-06
Journey,638230.0,True,game,Journey,False,,False,2020-06-11
GetsuFumaDen: Undying Moon - Deluxe Edition,1323470.0,True,game,GetsuFumaDen: Undying Moon,False,,False,2022-02-16
Cities: Skylines - K-pop Station - DLC,2144482.0,True,dlc,Cities: Skylines - K-pop Station,False,,False,2022-11-15
Rising Constellation,897670.0,True,dlc,Grim Dawn - Forgotten Gods Expansion,False,,False,2019-03-27
Imp of the Sun,1535780.0,True,game,Imp of the Sun,True,[1924190],False,2022-03-24
Spellforce 2: Anniversary Edition,39550.0,True,game,SpellForce 2 - Anniversary Edition,True,[624840],False,null
IS Defense,448370.0,True,game,IS Defense,False,,False,2016-04-19
Clive 'N' Wrench,1094720.0,True,game,Clive 'N' Wrench,False,,False,2023-02-23
Dead Rising 4,1377570.0,True,dlc,Kingdom Wars 4 - Dead Rising,False,,False,2023-05-06
SpellForce Complete Pack,1205240.0,True,game,Tentacle Girl,True,[1205290],False,2020-02-14
Hello Engineer: Scrap Machines Constructor,1856190.0,True,game,Hello Engineer: Scrap Machines Constructor,False,,False,2023-08-17
Police Stories,539470.0,True,game,Police Stories,True,"[1158270, 1329730]",False,2019-09-19
SoulCraft,369180.0,True,game,SoulCraft,False,,False,2015-06-01
Oaken,1348690.0,True,game,Oaken,True,[1983770],False,2023-07-20
Glitchhikers: The Spaces Between,1449230.0,True,game,Glitchhikers: The Spaces Between,True,"[1898200, 1925180]",False,2022-03-31
Call of the Sea - Artbook - DLC,410900.0,True,game,Forts,True,"[1033530, 1335840, 627370, 1103420, 1811550, 1944190, 2278070]",False,2017-04-19
Surviving Mars - First Colony,952892.0,True,dlc,Surviving Mars: Colony Design Set,False,,False,2018-11-15
