name,appid
RESIDENT EVIL 3,1173690.0
Resident Evil 4 - Deluxe Edition,486810.0
Solasta: Crown of the Magister - Lost Valley - DLC,1723950.0
TEKKEN 8 - Deluxe Edition - ПРЕДЗАКАЗ,2192770.0
Workers & Resources: Soviet Republic,784150.0
"Warhammer 40,000: Gladius - Assault Pack - DLC",1330480.0
DuckTales: Remastered,252350.0
Human: Fall Flat,477160.0
Outer Wilds,753640.0
Naruto Shippuden: Ultimate Ninja Storm 4,349040.0
Crusader Kings III: Royal Edition,1303182.0
Soulstice,1602080.0
Rain World,312520.0
Crash Drive 2,343440.0
Mortal Shell: The Virtuous Cycle - DLC,1672210.0
Wanderlust: Transsiberian,1233420.0
Mortal Kombat 11,1461160.0
Orcs Must Die! 3,1522820.0
Goosebumps: The Game,361360.0
Graveyard Keeper,599140.0
Pathfinder: Wrath of the Righteous - Enhanced Edition,1184370.0
Freedom Fighters,1347780.0
BIOMUTANT,597820.0
Black Mirror II,286460.0
Starship Troopers - Terran Command,1202130.0
Ori and the Blind Forest - Definitive Edition,346110.0
Back to Bed,308040.0
The Last of Us™ Part I,393380.0
Alekhine's Gun,406720.0
Roll'd,461010.0
Hearts of Iron IV,394360.0
TinyShot,1278760.0
Apex Legends: 4350 Coins,1172470.0
Painkiller Hell & Damnation: The Clock Strikes Meat Night - DLC,2192770.0
Wickland,321260.0
Mr Blaster,618490.0
UNCHARTED™: LEGACY OF THIEVES COLLECTION,1205240.0
Elypse,1725340.0
DARK SOULS™ II: Scholar of The First Sin,335300.0
NARUTO TO BORUTO: SHINOBI STRIKER,633230.0
Party Hard 2,572430.0
SIFU (Epic),1205240.0
"Warhammer 40,000: Gladius - Craftworld Aeldari DLC - DLC",1425820.0
Resident Evil 4: Ultimate HD Edition,1205240.0
Surviving Mars: Future Contemporary Cosmetic Pack - DLC,1658001.0
The Dolls: Reborn,473670.0
Gloomhaven,780290.0
MechaNika,384680.0
Dream Cycle,1105590.0
Dead Cells: Fatal Falls - DLC,1451460.0
Amnesia™: Memories,359390.0
Cat on a Diet,447890.0
Urban Trial Playground,988240.0
THE SIMS 4: CITY LIVING - DLC,282070.0
Goodbye Deponia,241910.0
Dark Souls Remastered,570940.0
Cities: Skylines - Financial Districts Bundle - DLC,28814.0
Scarlet Nexus - Deluxe Edition,20566.0
Phoenix Point: Year One Edition,282070.0
The Walking Dead: The Final Season,866800.0
DARK SOULS™ III: Deluxe Edition,94174.0
Kingdom Come: Deliverance,1059340.0
No Man's Sky,275850.0
Gravity Field,1425250.0
Cities: Skylines - Snowfall - DLC,420610.0
God of War,914120.0
Cities: Skylines - Mass Transit - DLC,547502.0
8infinity,526540.0
Metro Simulator,1787480.0
Crusader Kings III: Friends & Foes - DLC,2114760.0
Nevaeh,1222090.0
Bus Driver Simulator,2124590.0
Spirit of the Island – Adventureland - DLC,2507940.0
Dying Light - Harran Tactical Unit bundle - DLC,1543420.0
Blackguards 2,314830.0
Crazy Machines 3,351920.0
Orcs Must Die!,102600.0
Silt,1325890.0
Stellaris: Galactic Paragons - DLC,2380030.0
The Walking Dead: Michonne,429570.0
Lethis: Daring Discoverers,580570.0
Type:Rider,258890.0
Arpsic,1713340.0
The Forest Cathedral,1271310.0
Tropico Reloaded,33520.0
NecroWorm,622890.0
Necrosmith,1949190.0
Mortal Kombat 1 - Premium Edition,253370.0
Devil May Cry 4: Special Edition,941300.0
"Warhammer 40,000: Space Wolf",2183900.0
Pathfinder: Kingmaker Royal Edition,1205240.0
Block'Em!,1529220.0
Iron Danger,899310.0
Metro Redux Bundle,1205240.0
Displaced,615970.0
Stellaris: First Contact Story Pack - DLC,2277860.0
PlateUp!,1599600.0
Cities: Skylines - Pop-Punk Radio - DLC,2225941.0
Spiritfarer®: Farewell Edition,972660.0
Time Loader,1301950.0
Hello Neighbor,521890.0
APEX LEGENDS - 2150 COINS VIRTUAL CURRENCY,1172470.0
Railway Empire,503940.0
Star Wars: Knights of the Old Republic,1286830.0
Old World,597180.0
Hollow,2261140.0
The Ascent - Cyber Heist - DLC,1802470.0
Rise of Industry: 2130 - DLC,1139110.0
The Franz Kafka Videogame,392280.0
911 Operator,503560.0
Cities: Skylines - Natural Disasters - DLC,515191.0
Hyperspace Invaders II: Pixel Edition,397690.0
HyperBrawl Tournament - Celebration Pack 2 - DLC,1338964.0
Apex Legends: 1000 Coins - DLC,2192770.0
Far Cry 4 - Season Pass,1129580.0
Kingdom Two Crowns: Norse Lands - DLC,1708680.0
Lethis: Path of Progress,359230.0
Карта оплаты Xbox Game Pass Ultimate на 3 месяца,
Cities: Skylines - Parklife Plus - DLC,315660.0
Pathfinder: Wrath of the Righteous – The Treasure of the Midnight Isles - DLC,2064590.0
Project Highrise: Miami Malls - DLC,636500.0
Titan Quest: Eternal Embers - DLC,1804460.0
Caravan,352890.0
Sword Art Online: Hollow Realization - Deluxe Edition,2192770.0
Tails Noir Preludes,2020030.0
Citadels,238870.0
Kingdom Come: Deliverance - Royal Edition,1205240.0
DreadOut,269790.0
Little Nightmares - Secrets of The Maw Expansion Pass - DLC,640920.0
Surviving Mars: Martian Express - DLC,1816780.0
Tiny Lands,1354910.0
Pathfinder: Wrath of the Righteous - The Last Sarkorians - DLC,2266770.0
Bus Driver Simulator - Old Legend - DLC,1205240.0
INSOMNIA: The Ark,783170.0
Dungeons 3 – Famous Last Words - DLC,1049940.0
Northgard,466560.0
Hearts of Iron IV: Allied Armor Pack - DLC,1317230.0
IXION,1113120.0
Last Room,1334010.0
The Persistence,1140100.0
The Disney Afternoon Collection,525040.0
Graveyard Keeper - Better Save Soul - DLC,1788370.0
Shooting Stars,415350.0
The Fabled Woods,1299480.0
Screaming Chicken: Ultimate Showdown,1634100.0
Grotesque Tactics 2 – Dungeons and Donuts,46570.0
Prison Architect - Future Tech Pack - DLC,2184800.0
Operation: Tango,1335790.0
Onimusha: Warlords,761600.0
Stellaris: Leviathans Story Pack - DLC,518910.0
Terraformers,1244800.0
Winter,1919040.0
The Rosebud Condominium,663120.0
Train Valley 2: Myths & Rails - DLC,1874870.0
Potion Craft: Alchemist Simulator,1210320.0
Age of Wonders 4,1669000.0
